player_id,Player,2025-26,2026-27,2027-28,2028-29
okongon01,Onyeka Okongwu,"$15,000,000","$16,120,000","$16,880,000",-
isaacjo01,Jonathan Isaac,"$15,000,000","$14,500,000","$14,500,000","$15,000,000"
smartma01,Marcus Smart,"$14,786,855",-,-,-
gaffoda01,Daniel Gafford,"$14,386,320","$17,263,584","$18,126,763","$18,989,942"
avdijde01,Deni Avdija,"$14,375,000","$13,125,000","$11,875,000",-
washipj01,PJ Washington,"$14,152,174","$19,813,044","$21,398,088","$22,983,132"
adamsst01,Steven Adams,"$14,130,434","$13,000,000","$11,869,566",-
schrdde01,Dennis Schroeder,"$14,104,000","$14,809,200","$15,514,400",-
leverca01,Caris LeVert,"$14,104,000","$14,809,200",-,-
toppiob01,Obi Toppin,"$14,000,000","$15,000,000","$16,025,000",-
kispeco01,Corey Kispert,"$13,975,000","$13,975,000","$13,050,000","T$13,050,000"
joneshe01,Herb Jones,"$13,937,574","$14,898,786","$20,858,300","$22,526,964"
reaveau01,Austin Reaves,"$13,937,574","P$14,898,786",-,-
flaggco01,Cooper Flagg,"$13,825,920","$14,517,480","T$15,208,680","T$19,178,146"
holmgch01,Chet Holmgren,"$13,731,368","$41,250,000","$44,550,000","$47,850,000"
greenjo01,Josh Green,"$13,666,667","$14,679,012",-,-
willigr01,Grant Williams,"$13,645,500","$14,265,750",-,-
portibo01,Bobby Portis,"$13,445,754","$14,521,414","P$15,597,074",-
olynyke01,Kelly Olynyk,"$13,445,122",-,-,-
wembavi01,Victor Wembanyama,"$13,376,695","$16,868,013","Q$23,615,218",-
UNMAPPED,Robert Williams,"$13,285,713",-,-,-
risacza01,Zaccharie Risacher,"$13,197,720","$13,826,040","T$17,434,636","Q$24,408,490"
robinmi01,Mitchell Robinson,"$12,954,546",-,-,-
whiteco01,Coby White,"$12,888,889",-,-,-
UNMAPPED,D. Finney-Smith,"$12,700,000","$13,335,000","$13,335,000","P$13,335,000"
clarkbr01,Brandon Clarke,"$12,500,000","$12,500,000",-,-
harpedy01,Dylan Harper,"$12,370,200","$12,989,040","T$13,607,760","T$17,172,994"
joeis01,Isaiah Joe,"$12,362,338","$11,323,006","T$11,323,006",-
jrja01,Jabari Smith,"$12,350,392","$23,643,411","$21,751,940","$23,643,411"
divindo01,Donte DiVincenzo,"$11,990,000","$12,535,000",-,-
millebr01,Brandon Miller,"$11,968,400","$15,104,121","Q$21,221,290",-
sarral01,Alex Sarr,"$11,808,240","$12,370,680","T$15,611,798","Q$21,934,576"
mitchda01,Davion Mitchell,"$11,600,000","$12,400,000",-,-
moodymo01,Moses Moody,"$11,574,075","$12,500,000","$13,425,925",-
vandeja01,Jarred Vanderbilt,"$11,571,429","$12,428,571","P$13,285,714",-
thybuma01,Matisse Thybulle,"$11,550,000",-,-,-
vincega01,Gabe Vincent,"$11,500,000",-,-,-
murrake01,Keegan Murray,"$11,144,093","$24,137,936","$26,068,965","$27,999,999"
edgecvj01,VJ Edgecombe,"$11,108,880","$11,663,880","T$12,219,720","T$15,445,727"
okorois01,Isaac Okoro,"$11,000,000","$11,814,814",-,-
kennalu01,Luke Kennard,"$11,000,000",-,-,-
kornelu01,Luke Kornet,"$11,000,000","$10,450,000","$9,900,000","T$9,350,000"
klebema01,Maxi Kleber,"$11,000,000",-,-,-
nesmiaa01,Aaron Nesmith,"$11,000,000","$11,000,000","$19,418,000","$20,971,440"
jrwe01,Wendell Carter Jr.,"$10,850,000","$18,102,000","$19,550,160","T$20,998,320"
conlemi01,Mike Conley,"$10,774,038",-,-,-
UNMAPPED,Scoot Henderson,"$10,747,994","$13,585,465","Q$19,182,676",-
clarkjo01,Jordan Clarkson,"$10,651,561",-,-,-
sheppre01,Reed Sheppard,"$10,603,560","$11,108,880","T$14,041,624","Q$19,826,773"
valanjo01,Jonas Valančiūnas,"$10,395,000","$10,000,000",-,-
mccontj01,TJ McConnell,"$10,200,000","$11,000,000","$11,800,000","T$11,800,000"
onealro01,Royce O'Neale,"$10,125,000","$10,875,000","$11,625,000",-
iveyja01,Jaden Ivey,"$10,107,163","Q$13,402,098",-,-
wiggiaa01,Aaron Wiggins,"$10,102,803","$9,224,300","$8,345,797","T$8,345,797"
hausesa01,Sam Hauser,"$10,044,644","$10,848,215","$11,651,785","$12,455,356"
knuepko01,Kon Knueppel,"$10,015,680","$10,516,560","T$11,017,560","T$13,937,214"
balllo01,Lonzo Ball,"$10,000,000","T$10,000,000",-,-
jrde01,Derrick Jones Jr.,"$10,000,000","$10,476,190",-,-
thompam01,Amen Thompson,"$9,690,212","$12,258,119","Q$17,394,270",-
martica01,Caleb Martin,"$9,594,044","$10,001,494","P$9,731,351",-
castlst01,Stephon Castle,"$9,560,520","$10,015,920","T$12,670,139","Q$17,978,927"
connapa01,Pat Connaughton,"$9,423,869",-,-,-
anderky01,Kyle Anderson,"$9,219,512","$9,658,536",-,-
hieldbu01,Buddy Hield,"$9,219,512","$9,658,536","P$10,097,560",-
mathube01,Bennedict Mathurin,"$9,187,573","Q$12,256,222",-,-
baileac01,Ace Bailey,"$9,069,840","$9,522,960","T$9,976,560","T$12,640,302"
smithja01,Jalen Smith,"$9,000,000","$9,428,571",-,-
marshna01,Naji Marshall,"$9,000,000","$9,428,571",-,-
UNMAPPED,Ty Jerome,"$8,781,000","$9,220,050","P$9,659,100",-
thompau01,Ausar Thompson,"$8,775,162","T$11,118,130","Q$15,854,453",-
lopezbr01,Brook Lopez,"$8,750,000","T$9,187,500",-,-
grimequ01,Quentin Grimes,"$8,741,209",-,-,-
UNMAPPED,Ron Holland,"$8,657,280","T$9,069,600","T$11,491,183","Q$16,386,426"
merrisa01,Sam Merrill,"$8,482,144","$9,160,715","$9,839,285","$10,517,856"
willija01,Jaylin Williams,"$8,450,704","$7,774,648","T$7,774,648",-
sharpsh01,Shaedon Sharpe,"$8,399,983","$20,089,287","$21,696,429","$23,303,571"
UNMAPPED,Kelly Oubre,"$8,382,150",-,-,-
bitadgo01,Goga Bitadze,"$8,333,333","$7,608,696",-,-
UNMAPPED,S. Fontecchio,"$8,307,692",-,-,-
johnstr01,Tre Johnson,"$8,237,640","$8,649,600","T$9,061,680","T$11,490,211"
UNMAPPED,Georges Niang,"$8,200,000",-,-,-
nnajize01,Zeke Nnaji,"$8,177,778","$7,466,667","P$7,466,667",-
aytonde01,Deandre Ayton,"$8,104,000","P$8,104,000",-,-
manntr01,Tre Mann,"$8,000,000","$8,000,000","T$8,000,000",-
looneke01,Kevon Looney,"$8,000,000","T$8,000,000",-,-
jonestr01,Tre Jones,"$8,000,000","$8,000,000","$8,000,000",-
blackan01,Anthony Black,"$7,970,028","$10,105,996","Q$14,491,998",-
UNMAPPED,Tidjane Salaun,"$7,863,240","$8,237,880","T$10,445,632","Q$14,979,036"
chrisma01,Max Christie,"$7,714,286","$8,285,714","P$8,857,143",-
daniedy01,Dyson Daniels,"$7,707,709","$25,000,000","$25,000,000","$25,000,000"
jacksis01,Isaiah Jackson,"$7,600,000","$7,000,000","$6,400,000",-
fearsje01,Jeremiah Fears,"$7,520,040","$7,896,240","T$8,271,960","T$10,505,389"
dosunay01,Ayo Dosunmu,"$7,518,518",-,-,-
coulibi01,Bilal Coulibaly,"$7,275,682","$9,240,116","Q$13,315,007",-
pritcpa01,Payton Pritchard,"$7,232,143","$7,767,857","$8,303,571",-
clingdo01,Donovan Clingan,"$7,178,400","$7,519,920","T$9,550,298","Q$13,761,979"
willike01,Kenrich Williams,"$7,163,000","T$7,163,000",-,-
sochaje01,Jeremy Sochan,"$7,096,231","Q$9,615,393",-,-
jonesty01,Tyus Jones,"$7,000,000",-,-,-
UNMAPPED,Egor Demin,"$6,889,200","$7,233,720","T$7,578,240","T$9,639,522"
carteje01,Jevon Carter,"$6,809,524",-,-,-
capelcl01,Clint Capela,"$6,700,000","$7,035,000","$7,370,000",-
diengou01,Ousmane Dieng,"$6,670,882","Q$9,132,438",-,-
walkeja01,Jarace Walker,"$6,665,406","$8,478,396","Q$12,276,717",-
wadede01,Dean Wade,"$6,623,456",-,-,-
willija01,Jalen Williams,"$6,580,997","$41,250,000","$44,550,000","$47,850,000"
dilliro01,Rob Dillingham,"$6,576,120","$6,889,320","T$8,763,215","Q$12,689,135"
durenja01,Jalen Duren,"$6,483,144","Q$8,966,189",-,-
agbajoc01,Ochai Agbaji,"$6,383,525","Q$8,879,483",-,-
