player_id,PLAYER,TEAM,MIN,PIE
bealbr01,Bradley Beal,LAC,20.2,1.8
arida01,Dario Šarić,SAC,8.2,1.5
wisemja01,James Wiseman,IND,14.6,1
olbrila01,Lachlan Olbrich,CHI,6.7,1
broomjo01,Johni Broome,PHI,5.2,0.7
peterdr01,Drew Peterson,CHA,10.7,0
jonesis01,Isaac Jones,DET,4.6,0
coopesh01,Sharife Cooper,WAS,3.9,0
plowdda01,Daeqwon Plowden,SAC,14,-1.4
etienty01,Tyson Etienne,BKN,4.3,-4.1
evbuoto01,Tosan Evbuomwan,NYK,1.5,-4.3
telfoja01,Jahmyl Telfort,LAC,4,-6.4
crawfis01,Isaiah Crawford,HOU,2.3,-8.7
bambamo01,Mo Bamba,TOR,2.9,-8.9
essenno01,Noa Essengue,CHI,3,-9.5
hepbuch01,Chucky Hepburn,TOR,6.6,-10
labissk01,Skal Labissiere,WAS,3.6,-10
dickihu01,Hunter Dickinson,NOP,4.7,-13.9
,Ty Jerome,,,
,Scoot Henderson,,,
